user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,login_issue
100000,56.0,female,india,ios,2.1,5.0,1.4838746894587547,52.71,13.0,5.0,8.0,8.0,0.6931471805599453,0.0,20.0,basic,9.0,5.0,2.0,4.0,0.31,55.79,1152.0,referral,False
100001,46.0,male,uk,ios,1.0,8.0,3.2363227384719213,42.03,7.0,7.0,3.0,7.0,0.0,0.0,7.0,free,8.0,3.0,3.0,3.0,0.87,82.39,1059.0,email campaign,False
100002,32.0,female,uk,ios,1.2,12.0,1.8468787684491346,76.69,7.0,5.0,2.0,21.0,0.6931471805599453,0.0,33.0,free,11.0,6.0,1.0,2.0,0.63,42.49,678.0,google ads,False
100003,25.0,male,india,android,2.0,5.0,1.6054298910365616,65.38,16.0,8.0,4.0,13.0,0.0,0.0,17.0,basic,6.0,3.0,1.0,3.0,0.43,62.81,92.0,organic,False
100004,38.0,male,australia,android,1.0,10.0,2.6282852326333477,57.06,13.0,7.0,3.0,15.0,0.0,0.0,21.0,basic,4.0,4.0,2.0,5.0,0.43,38.21,772.0,email campaign,False
100005,56.0,male,india,android,1.0,12.0,2.4432162227337915,25.39,14.0,7.0,6.0,14.0,0.0,0.0,4.0,free,7.0,3.0,1.0,5.0,0.65,91.45,50.0,email campaign,False
100006,36.0,female,india,android,1.2,8.0,3.0411835364579085,14.86,15.0,2.0,5.0,3.0,0.0,0.0,43.0,free,9.0,2.0,1.0,4.0,0.78,63.3,1161.0,google ads,False
100007,40.0,female,uk,android,2.1,6.0,2.0554049638515948,36.47,14.0,9.0,2.0,3.0,0.0,0.0,16.0,premium,5.0,6.0,4.0,1.5,0.51,84.81,104.0,organic,False
100008,28.0,female,germany,android,1.0,7.0,3.3130945001071823,64.74,14.0,3.0,3.0,19.0,0.0,0.0,43.0,free,6.0,3.0,5.0,4.0,0.08,72.85,989.0,google ads,False
100009,28.0,male,singapore,android,1.2,8.0,3.4288125486951286,47.77,10.0,6.0,4.0,19.0,0.0,0.0,25.0,free,3.0,4.0,2.0,3.0,0.19,55.92,373.0,facebook ads,False
100010,41.0,female,australia,ios,1.0,9.0,2.0082140323914683,51.42,8.0,5.0,6.0,22.0,1.0986122886681098,0.0,35.0,basic,3.0,6.0,3.0,4.0,0.38,56.02,1155.0,organic,False
100011,53.0,male,canada,android,2.1,6.0,1.4929040961781488,45.83,7.0,3.0,2.0,8.0,0.0,0.0,21.0,basic,7.0,5.0,2.0,4.0,0.32,74.7,380.0,referral,False
100012,57.0,male,usa,ios,1.1,5.0,3.044522437723423,27.22,12.0,6.0,4.0,20.0,0.0,0.0,1.0,free,5.0,2.0,1.0,5.0,0.07,62.19,617.0,referral,False
100013,41.0,male,usa,android,1.2,8.0,1.801709800081223,37.34,8.0,5.0,4.0,18.0,0.6931471805599453,0.0,44.0,basic,8.0,5.0,2.0,1.5,0.48,67.25,255.0,organic,False
100014,20.0,male,usa,ios,1.1,5.0,2.9402195636237325,29.55,16.0,3.0,3.0,21.0,0.0,0.0,11.0,basic,5.0,0.0,5.0,5.0,0.98,51.33,691.0,google ads,False
100015,39.0,female,singapore,android,1.2,7.0,3.563032744247961,34.42,13.0,7.0,2.0,3.0,0.6931471805599453,0.0,35.0,free,6.0,3.0,2.0,3.0,0.26,52.69,1130.0,organic,False
100016,19.0,male,india,ios,1.0,7.0,2.854168709232204,65.07,8.0,9.0,7.0,11.0,0.0,0.0,29.0,free,8.0,1.0,3.0,4.0,0.25,73.52,618.0,google ads,False
100017,41.0,female,usa,android,1.0,6.0,2.884241897520628,74.7,6.0,6.0,6.0,24.0,1.0986122886681098,0.0,5.0,basic,9.0,1.0,1.0,3.0,0.21,100.0,24.0,organic,False
100018,47.0,male,india,android,2.1,10.0,2.6871669901857858,70.42,9.0,4.0,2.0,18.0,0.0,0.0,14.0,free,4.0,5.0,2.0,4.0,0.14,51.37,37.0,facebook ads,False
100019,55.0,male,usa,ios,2.1,7.0,2.3997118037247684,41.47,7.0,5.0,4.0,16.0,0.0,0.0,34.0,basic,5.0,2.0,0.0,3.0,0.84,68.99,306.0,facebook ads,False
100020,19.0,female,usa,android,1.2,6.0,2.65605490598383,27.44,16.0,2.0,4.0,19.0,0.6931471805599453,0.0,44.0,basic,4.0,2.0,1.0,4.0,0.65,70.46,1025.0,organic,False
100021,38.0,female,germany,android,2.1,9.0,2.4042387467205457,47.97,13.0,4.0,6.0,23.0,1.0986122886681098,0.0,39.0,free,2.0,7.0,1.0,3.0,0.04,57.35,424.0,referral,False
100022,50.0,female,india,ios,2.0,4.0,2.3749057545736716,52.22,10.0,2.0,3.0,7.0,0.0,0.0,8.0,free,3.0,6.0,3.0,5.0,0.79,78.2,562.0,organic,False
100023,29.0,male,canada,ios,1.2,13.0,2.511223958105374,45.59,18.0,8.0,6.0,14.0,0.0,0.0,12.0,free,6.0,6.0,1.0,5.0,0.87,67.32,34.0,email campaign,False
100024,39.0,male,uk,android,2.0,9.0,2.2126603854660587,77.63,15.0,5.0,4.0,17.0,0.0,0.0,28.0,free,4.0,6.0,1.0,2.0,0.18,82.69,255.0,referral,False
100025,42.0,male,india,android,1.2,9.0,2.0869135565185366,24.22,17.0,5.0,4.0,3.0,0.0,0.0,41.0,basic,7.0,3.0,1.0,5.0,0.19,79.11,1021.0,organic,False
100026,44.0,female,usa,android,1.2,7.0,2.857618971424357,32.61,14.0,9.0,6.0,19.0,0.0,0.0,2.0,premium,5.0,2.0,3.0,4.0,0.94,72.71,649.0,organic,False
100027,59.0,male,usa,android,1.2,11.0,1.5539252025038417,67.78,9.0,9.0,2.0,17.0,0.0,0.0,33.0,free,5.0,1.0,2.0,3.0,0.27,35.2,631.0,referral,False
100028,45.0,female,germany,android,1.1,7.0,2.3711778844596574,42.66,15.0,5.0,6.0,8.0,0.0,0.0,22.0,free,4.0,7.0,2.0,4.0,0.03,44.53,270.0,google ads,False
100029,33.0,female,india,android,1.1,8.0,2.017566137961748,26.01,16.0,5.0,2.0,9.0,1.0986122886681098,0.0,38.0,free,7.0,4.0,3.0,5.0,0.33,71.47,96.0,referral,False
100030,32.0,female,usa,web,2.1,7.0,2.3804716316511167,40.61,10.0,4.0,5.0,11.0,0.0,0.0,39.0,free,3.0,5.0,0.0,4.0,0.58,57.15,986.0,facebook ads,False
100031,20.0,other,india,android,1.0,16.0,3.366260811781259,96.2,18.0,4.0,4.0,4.0,0.6931471805599453,0.0,43.0,basic,4.0,4.0,1.0,4.0,0.88,55.54,657.0,google ads,False
100032,54.0,female,india,android,2.1,9.0,2.670694414558441,29.45,18.0,10.0,7.0,16.0,0.0,0.0,22.0,basic,3.0,4.0,4.0,5.0,0.72,68.26,535.0,google ads,False
100033,24.0,male,india,ios,2.0,8.0,2.733717947850788,31.3,12.0,4.0,5.0,5.0,0.0,0.0,18.0,free,8.0,2.0,3.0,4.0,0.25,39.1,82.0,organic,False
100034,38.0,female,usa,ios,1.2,11.0,2.4553061800117097,52.53,7.0,9.0,5.0,20.0,0.0,0.0,36.0,free,9.0,3.0,3.0,5.0,0.57,54.6,420.0,google ads,False
100035,26.0,female,canada,android,1.1,5.0,2.0930978681273213,33.97,15.0,6.0,8.0,6.0,0.0,0.0,22.0,free,4.0,3.0,1.0,2.0,0.37,95.65,453.0,referral,False
100036,56.0,female,usa,android,1.2,3.0,3.3854066957558313,71.31,12.0,4.0,5.0,14.0,0.0,0.0,2.0,basic,8.0,5.0,2.0,5.0,0.43,71.31,847.0,organic,False
100037,35.0,male,usa,android,1.2,8.0,3.393165209964891,41.49,13.0,6.0,6.0,5.0,0.6931471805599453,0.0,26.0,free,5.0,1.0,2.0,4.0,0.76,59.79,824.0,google ads,False
100038,21.0,male,uk,ios,1.0,9.0,1.5496879080283263,21.55,14.0,5.0,3.0,14.0,0.0,0.0,12.0,basic,5.0,4.0,1.0,4.0,0.6,83.57,332.0,referral,False
100039,42.0,male,india,web,1.1,5.0,2.7186603802142257,73.75,14.0,3.0,5.0,6.0,0.0,0.0,29.0,free,7.0,3.0,0.0,4.0,0.44,57.69,196.0,facebook ads,False
